{'sf': 'dile', 'freq': '1529', 'analysis': 'Stem-dat', 'segmentation': 'dil-e', 'ur': 'dil-A', 'predicted_sr': 'dil-A'}
{'sf': 'sɑnɑtʧɯlɑrɑ', 'freq': '37', 'analysis': 'Stem-ci-pl-dat', 'segmentation': 'sɑnɑt-ʧɯ-lɑr-ɑ', 'ur': 'sɑnɑt-ʧH-lAr-A', 'predicted_sr': 'sɑnɑt-ʧɯ-lAr-A'}
{'sf': 'sɑnɑtlɑrɯn', 'freq': '37', 'analysis': 'Stem-pl-gen', 'segmentation': 'sɑnɑt-lɑr-ɯn', 'ur': 'sɑnɑt-lAr-Hn', 'predicted_sr': 'sɑnɑt-lAr-In'}
{'sf': 'sɑndɯklɑrɯ', 'freq': '37', 'analysis': 'Stem-pl-p3s', 'segmentation': 'sɑndɯk-lɑr-ɯ', 'ur': 'sɑndɯk-lAr-H', 'predicted_sr': 'sɑndɯk-lAr-I'}
{'sf': 'sɑtɯʃlɑrɯɯn', 'freq': '37', 'analysis': 'Stem-vn:yis-pl-p3s-gen', 'segmentation': 'sɑt-ɯʃ-lɑr-ɯ-ɯn', 'ur': 'sɑt-Hʃ-lAr-H-Hn', 'predicted_sr': 'sɑt-ɯʃ-lAr-I-In'}
{'sf': 'sɑtɯʃtɑ', 'freq': '37', 'analysis': 'Stem-vn:yis-loc', 'segmentation': 'sɑt-ɯʃ-tɑ', 'ur': 'sɑt-Hʃ-dA', 'predicted_sr': 'sɑt-ɯʃ-dA'}
{'sf': 'sɑtɯʤɯlɑrɯn', 'freq': '37', 'analysis': 'Stem-pl-gen', 'segmentation': 'sɑtɯʤɯ-lɑr-ɯn', 'ur': 'sɑtɯʤɯ-lAr-Hn', 'predicted_sr': 'sɑtɯʤɯ-lAr-In'}
{'sf': 'sɑtɯrdɑki', 'freq': '37', 'analysis': 'Stem-loc-ki', 'segmentation': 'sɑtɯr-dɑ-ki', 'ur': 'sɑtɯr-dA-ki', 'predicted_sr': 'sɑtɯr-dA-ki'}
{'sf': 'sɑjfɑlɑrdɑn', 'freq': '37', 'analysis': 'Stem-pl-abl', 'segmentation': 'sɑjfɑ-lɑr-dɑn', 'ur': 'sɑjfɑ-lAr-dAn', 'predicted_sr': 'sɑjfɑ-lAr-dAn'}
{'sf': 'sektørlerdeki', 'freq': '37', 'analysis': 'Stem-pl-loc-ki', 'segmentation': 'sektør-ler-de-ki', 'ur': 'sektør-lAr-dA-ki', 'predicted_sr': 'sektør-lAr-dA-ki'}
{'sf': 'servislerde', 'freq': '37', 'analysis': 'Stem-pl-loc', 'segmentation': 'servis-ler-de', 'ur': 'servis-lAr-dA', 'predicted_sr': 'servis-lAr-dA'}
{'sf': 'sorgulɑr', 'freq': '37', 'analysis': 'Stem-pl', 'segmentation': 'sorgu-lɑr', 'ur': 'sorgu-lAr', 'predicted_sr': 'sorgu-lAr'}
{'sf': 'stɑnddɑ', 'freq': '37', 'analysis': 'Stem-loc', 'segmentation': 'stɑnd-dɑ', 'ur': 'stɑnd-dA', 'predicted_sr': 'stɑnd-dA'}
{'sf': 'tɯkɑlɯ', 'freq': '37', 'analysis': 'Stem-cv:eli', 'segmentation': 'tɯk-ɑlɯ', 'ur': 'tɯk-AlI', 'predicted_sr': 'tɯk-AlI'}
{'sf': 'tɑʃɯtlɑrɯn', 'freq': '37', 'analysis': 'Stem-pl-gen', 'segmentation': 'tɑʃɯt-lɑr-ɯn', 'ur': 'tɑʃɯt-lAr-Hn', 'predicted_sr': 'tɑʃɯt-lAr-In'}
{'sf': 'tɑbɑndɑn', 'freq': '37', 'analysis': 'Stem-abl', 'segmentation': 'tɑbɑn-dɑn', 'ur': 'tɑbɑn-dAn', 'predicted_sr': 'tɑbɑn-dAn'}
{'sf': 'tɑkvime', 'freq': '37', 'analysis': 'Stem-dat', 'segmentation': 'tɑkvim-e', 'ur': 'tɑkvim-A', 'predicted_sr': 'tɑkvim-A'}
{'sf': 'tɑleplere', 'freq': '37', 'analysis': 'Stem-pl-dat', 'segmentation': 'tɑlep-ler-e', 'ur': 'tɑlep-lAr-A', 'predicted_sr': 'tɑlep-lAr-A'}
{'sf': 'tɑmɑmlɑnmɑdɑn', 'freq': '37', 'analysis': 'Stem-vn:inf-abl', 'segmentation': 'tɑmɑmlɑn-mɑ-dɑn', 'ur': 'tɑmɑmlɑn-mA-dAn', 'predicted_sr': 'tɑmɑmlɑn-mA-dAn'}
{'sf': 'tɑnɯɑrɑk', 'freq': '37', 'analysis': 'Stem-cv:erek', 'segmentation': 'tɑnɯ-ɑrɑk', 'ur': 'tɑnɯ-ArAk', 'predicted_sr': 'tɑnɯ-ArAk'}
{'sf': 'tɑsɑrɯmlɑrɯn', 'freq': '37', 'analysis': 'Stem-pl-gen', 'segmentation': 'tɑsɑrɯm-lɑr-ɯn', 'ur': 'tɑsɑrɯm-lAr-Hn', 'predicted_sr': 'tɑsɑrɯm-lAr-In'}
{'sf': 'tɑslɑktɑ', 'freq': '37', 'analysis': 'Stem-loc', 'segmentation': 'tɑslɑk-tɑ', 'ur': 'tɑslɑk-dA', 'predicted_sr': 'tɑslɑk-dA'}
{'sf': 'tɑtilde', 'freq': '37', 'analysis': 'Stem-loc', 'segmentation': 'tɑtil-de', 'ur': 'tɑtil-dA', 'predicted_sr': 'tɑtil-dA'}
{'sf': 'teknede', 'freq': '37', 'analysis': 'Stem-loc', 'segmentation': 'tekne-de', 'ur': 'tekne-dA', 'predicted_sr': 'tekne-dA'}
{'sf': 'tekrɑrdɑn', 'freq': '37', 'analysis': 'Stem-abl', 'segmentation': 'tekrɑr-dɑn', 'ur': 'tekrɑr-dAn', 'predicted_sr': 'tekrɑr-dAn'}
{'sf': 'temellere', 'freq': '37', 'analysis': 'Stem-pl-dat', 'segmentation': 'temel-ler-e', 'ur': 'temel-lAr-A', 'predicted_sr': 'temel-lAr-A'}
{'sf': 'torbɑlɑrɯ', 'freq': '37', 'analysis': 'Stem-pl-p3s', 'segmentation': 'torbɑ-lɑr-ɯ', 'ur': 'torbɑ-lAr-H', 'predicted_sr': 'torbɑ-lAr-I'}
{'sf': 'trɑnsferleri', 'freq': '37', 'analysis': 'Stem-pl-p3s', 'segmentation': 'trɑnsfer-ler-i', 'ur': 'trɑnsfer-lAr-H', 'predicted_sr': 'trɑnsfer-lAr-I'}
{'sf': 'ujup', 'freq': '37', 'analysis': 'Stem-cv:ip', 'segmentation': 'uj-up', 'ur': 'uj-Hp', 'predicted_sr': 'uj-Up'}
{'sf': 'vermenizi', 'freq': '37', 'analysis': 'Stem-vn:inf-p2p-acc', 'segmentation': 'ver-me-niz-i', 'ur': 'ver-mA-nHz-H', 'predicted_sr': 'ver-mA-nIz-I'}
{'sf': 'virysyyn', 'freq': '37', 'analysis': 'Stem-p3s-gen', 'segmentation': 'virys-y-yn', 'ur': 'virys-H-Hn', 'predicted_sr': 'virys-U-Un'}
{'sf': 'jɯkɑmɑ', 'freq': '37', 'analysis': 'Stem-vn:inf', 'segmentation': 'jɯkɑ-mɑ', 'ur': 'jɯkɑ-mA', 'predicted_sr': 'jɯkɑ-mA'}
{'sf': 'jɑnɯlmɑ', 'freq': '37', 'analysis': 'Stem-vn:inf', 'segmentation': 'jɑnɯl-mɑ', 'ur': 'jɑnɯl-mA', 'predicted_sr': 'jɑnɯl-mA'}
{'sf': 'jɑnɯtlɑrɯn', 'freq': '37', 'analysis': 'Stem-pl-gen', 'segmentation': 'jɑnɯt-lɑr-ɯn', 'ur': 'jɑnɯt-lAr-Hn', 'predicted_sr': 'jɑnɯt-lAr-In'}
{'sf': 'jɑpmɑksɯzɯn', 'freq': '37', 'analysis': 'Stem-cv:meksizin', 'segmentation': 'jɑp-mɑksɯzɯn', 'ur': 'jɑp-mAksIzIn', 'predicted_sr': 'jɑp-mAksIzIn'}
{'sf': 'jɑrdɯmlɑrdɑn', 'freq': '37', 'analysis': 'Stem-pl-abl', 'segmentation': 'jɑrdɯm-lɑr-dɑn', 'ur': 'jɑrdɯm-lAr-dAn', 'predicted_sr': 'jɑrdɯm-lAr-dAn'}
{'sf': 'jɑrgɯlɑmɑnɯn', 'freq': '37', 'analysis': 'Stem-la-vn:inf-p2s-gen', 'segmentation': 'jɑrgɯ-lɑ-mɑ-n-ɯn', 'ur': 'jɑrgɯ-lA-mA-n-Hn', 'predicted_sr': 'jɑrgɯ-lA-mA-n-In'}
{'sf': 'jɑjɯlɑrɑk', 'freq': '37', 'analysis': 'Stem-cv:erek', 'segmentation': 'jɑjɯl-ɑrɑk', 'ur': 'jɑjɯl-ArAk', 'predicted_sr': 'jɑjɯl-ArAk'}
{'sf': 'jolmuzɑ', 'freq': '37', 'analysis': 'Stem-p1p-dat', 'segmentation': 'jol-muz-ɑ', 'ur': 'jol-mHz-A', 'predicted_sr': 'jol-mUz-A'}
{'sf': 'ʧøzynyrlykly', 'freq': '36', 'analysis': 'Stem-li', 'segmentation': 'ʧøzynyrlyk-ly', 'ur': 'ʧøzynyrlyk-lH', 'predicted_sr': 'ʧøzynyrlyk-lU'}
{'sf': 'ʧeviriler', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'ʧeviri-ler', 'ur': 'ʧeviri-lAr', 'predicted_sr': 'ʧeviri-lAr'}
{'sf': 'ʧizimde', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'ʧizim-de', 'ur': 'ʧizim-dA', 'predicted_sr': 'ʧizim-dA'}
{'sf': 'ʧoʤuklɑrm', 'freq': '36', 'analysis': 'Stem-pl-p1s', 'segmentation': 'ʧoʤuk-lɑr-m', 'ur': 'ʧoʤuk-lAr-m', 'predicted_sr': 'ʧoʤuk-lAr-m'}
{'sf': 'ʧubuklɑr', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'ʧubuk-lɑr', 'ur': 'ʧubuk-lAr', 'predicted_sr': 'ʧubuk-lAr'}
{'sf': 'ølʧekteki', 'freq': '36', 'analysis': 'Stem-loc-ki', 'segmentation': 'ølʧek-te-ki', 'ur': 'ølʧek-dA-ki', 'predicted_sr': 'ølʧek-dA-ki'}
{'sf': 'ønme', 'freq': '36', 'analysis': 'Stem-p1s-dat', 'segmentation': 'øn-m-e', 'ur': 'øn-m-A', 'predicted_sr': 'øn-m-A'}
{'sf': 'øzelde', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'øzel-de', 'ur': 'øzel-dA', 'predicted_sr': 'øzel-dA'}
{'sf': 'ʃɑnsɑ', 'freq': '36', 'analysis': 'Stem-dat', 'segmentation': 'ʃɑns-ɑ', 'ur': 'ʃɑns-A', 'predicted_sr': 'ʃɑns-A'}
{'sf': 'ʃiirde', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'ʃiir-de', 'ur': 'ʃiir-dA', 'predicted_sr': 'ʃiir-dA'}
{'sf': 'ɑɰɑʧlɑrdɑ', 'freq': '36', 'analysis': 'Stem-pl-loc', 'segmentation': 'ɑɰɑʧ-lɑr-dɑ', 'ur': 'ɑɰɑʧ-lAr-dA', 'predicted_sr': 'ɑɰɑʧ-lAr-dA'}
{'sf': 'ɑʃɑɰɯlɑɯʤɯ', 'freq': '36', 'analysis': 'Stem-la-yici', 'segmentation': 'ɑʃɑɰɯ-lɑ-ɯʤɯ', 'ur': 'ɑʃɑɰɯ-lA-HʤH', 'predicted_sr': 'ɑʃɑɰɯ-lA-IʤI'}
{'sf': 'ɑʃmɑɑn', 'freq': '36', 'analysis': 'Stem-neg-part:pres', 'segmentation': 'ɑʃ-mɑ-ɑn', 'ur': 'ɑʃ-mA-An', 'predicted_sr': 'ɑʃ-mA-An'}
{'sf': 'ɑdɯmdɑn', 'freq': '36', 'analysis': 'Stem-abl', 'segmentation': 'ɑdɯm-dɑn', 'ur': 'ɑdɯm-dAn', 'predicted_sr': 'ɑdɯm-dAn'}
{'sf': 'ɑfiʃler', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'ɑfiʃ-ler', 'ur': 'ɑfiʃ-lAr', 'predicted_sr': 'ɑfiʃ-lAr'}
{'sf': 'ɑlɯʃtɯrmɑlɑr', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'ɑlɯʃtɯrmɑ-lɑr', 'ur': 'ɑlɯʃtɯrmɑ-lAr', 'predicted_sr': 'ɑlɯʃtɯrmɑ-lAr'}
{'sf': 'ɑlɑʤɑklɑrɯn', 'freq': '36', 'analysis': 'Stem-pl-gen', 'segmentation': 'ɑlɑʤɑk-lɑr-ɯn', 'ur': 'ɑlɑʤɑk-lAr-Hn', 'predicted_sr': 'ɑlɑʤɑk-lAr-In'}
{'sf': 'ɑnimɑsjonu', 'freq': '36', 'analysis': 'Stem-p3s', 'segmentation': 'ɑnimɑsjon-u', 'ur': 'ɑnimɑsjon-H', 'predicted_sr': 'ɑnimɑsjon-U'}
{'sf': 'ɑrɑdɯklɑrɯ', 'freq': '36', 'analysis': 'Stem-part:past-p3p', 'segmentation': 'ɑrɑ-dɯk-lɑrɯ', 'ur': 'ɑrɑ-dHk-lArH', 'predicted_sr': 'ɑrɑ-dɯk-lArI'}
{'sf': 'ɑskerlere', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'ɑsker-ler-e', 'ur': 'ɑsker-lAr-A', 'predicted_sr': 'ɑsker-lAr-A'}
{'sf': 'ɑvukɑtlɑrɯɯn', 'freq': '36', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ɑvukɑt-lɑr-ɯ-ɯn', 'ur': 'ɑvukɑt-lAr-H-Hn', 'predicted_sr': 'ɑvukɑt-lAr-I-In'}
{'sf': 'byroun', 'freq': '36', 'analysis': 'Stem-gen', 'segmentation': 'byro-un', 'ur': 'byro-Hn', 'predicted_sr': 'byro-Un'}
{'sf': 'bɑɰɯʃtɑ', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'bɑɰɯʃ-tɑ', 'ur': 'bɑɰɯʃ-dA', 'predicted_sr': 'bɑɰɯʃ-dA'}
{'sf': 'bɑʤɑklɑr', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'bɑʤɑk-lɑr', 'ur': 'bɑʤɑk-lAr', 'predicted_sr': 'bɑʤɑk-lAr'}
{'sf': 'bɑkmɑɯ', 'freq': '36', 'analysis': 'Stem-vn:inf-p3s', 'segmentation': 'bɑk-mɑ-ɯ', 'ur': 'bɑk-mA-H', 'predicted_sr': 'bɑk-mA-I'}
{'sf': 'belirlemenizi', 'freq': '36', 'analysis': 'Stem-vn:inf-p2p-acc', 'segmentation': 'belirle-me-niz-i', 'ur': 'belirle-mA-nHz-H', 'predicted_sr': 'belirle-mA-nIz-I'}
{'sf': 'benzerlikleri', 'freq': '36', 'analysis': 'Stem-lik-p3p', 'segmentation': 'benzer-lik-leri', 'ur': 'benzer-lHk-lArH', 'predicted_sr': 'benzer-lik-lArI'}
{'sf': 'birleʃinʤe', 'freq': '36', 'analysis': 'Stem-cv:ince', 'segmentation': 'birleʃ-inʤe', 'ur': 'birleʃ-HnʤA', 'predicted_sr': 'birleʃ-inʤA'}
{'sf': 'boʃluklɑrɯn', 'freq': '36', 'analysis': 'Stem-pl-gen', 'segmentation': 'boʃluk-lɑr-ɯn', 'ur': 'boʃluk-lAr-Hn', 'predicted_sr': 'boʃluk-lAr-In'}
{'sf': 'ʤevɑplɑmɑnɯzdɑn', 'freq': '36', 'analysis': 'Stem-la-vn:inf-p2p-abl', 'segmentation': 'ʤevɑp-lɑ-mɑ-nɯz-dɑn', 'ur': 'ʤevɑp-lA-mA-nHz-dAn', 'predicted_sr': 'ʤevɑp-lA-mA-nIz-dAn'}
{'sf': 'ʤevɑplɑrɯn', 'freq': '36', 'analysis': 'Stem-pl-gen', 'segmentation': 'ʤevɑp-lɑr-ɯn', 'ur': 'ʤevɑp-lAr-Hn', 'predicted_sr': 'ʤevɑp-lAr-In'}
{'sf': 'dønmei', 'freq': '36', 'analysis': 'Stem-vn:inf-acc', 'segmentation': 'døn-me-i', 'ur': 'døn-mA-H', 'predicted_sr': 'døn-mA-I'}
{'sf': 'dyʃynʤelermi', 'freq': '36', 'analysis': 'Stem-pl-p1s-acc', 'segmentation': 'dyʃynʤe-ler-m-i', 'ur': 'dyʃynʤe-lAr-m-H', 'predicted_sr': 'dyʃynʤe-lAr-m-I'}
{'sf': 'dyʃmeden', 'freq': '36', 'analysis': 'Stem-vn:inf-abl', 'segmentation': 'dyʃ-me-den', 'ur': 'dyʃ-mA-dAn', 'predicted_sr': 'dyʃ-mA-dAn'}
{'sf': 'dyzenlemede', 'freq': '36', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'dyzenle-me-de', 'ur': 'dyzenle-mA-dA', 'predicted_sr': 'dyzenle-mA-dA'}
{'sf': 'dɑɰɯtmɑ', 'freq': '36', 'analysis': 'Stem-vn:inf', 'segmentation': 'dɑɰɯt-mɑ', 'ur': 'dɑɰɯt-mA', 'predicted_sr': 'dɑɰɯt-mA'}
{'sf': 'deɰerlendirmelerin', 'freq': '36', 'analysis': 'Stem-vn:inf-pl-gen', 'segmentation': 'deɰerlendir-me-ler-in', 'ur': 'deɰerlendir-mA-lAr-Hn', 'predicted_sr': 'deɰerlendir-mA-lAr-In'}
{'sf': 'demirden', 'freq': '36', 'analysis': 'Stem-abl', 'segmentation': 'demir-den', 'ur': 'demir-dAn', 'predicted_sr': 'demir-dAn'}
{'sf': 'detɑjlɑrɑ', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'detɑj-lɑr-ɑ', 'ur': 'detɑj-lAr-A', 'predicted_sr': 'detɑj-lAr-A'}
{'sf': 'dinlenmei', 'freq': '36', 'analysis': 'Stem-vn:inf-p3s', 'segmentation': 'dinlen-me-i', 'ur': 'dinlen-mA-H', 'predicted_sr': 'dinlen-mA-I'}
{'sf': 'dokuu', 'freq': '36', 'analysis': 'Stem-acc', 'segmentation': 'doku-u', 'ur': 'doku-H', 'predicted_sr': 'doku-U'}
{'sf': 'dujgulɑrmɯ', 'freq': '36', 'analysis': 'Stem-pl-p1s-acc', 'segmentation': 'dujgu-lɑr-m-ɯ', 'ur': 'dujgu-lAr-m-H', 'predicted_sr': 'dujgu-lAr-m-I'}
{'sf': 'dujgulɑrɯɯn', 'freq': '36', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'dujgu-lɑr-ɯ-ɯn', 'ur': 'dujgu-lAr-H-Hn', 'predicted_sr': 'dujgu-lAr-I-In'}
{'sf': 'eklemeler', 'freq': '36', 'analysis': 'Stem-vn:inf-pl', 'segmentation': 'ekle-me-ler', 'ur': 'ekle-mA-lAr', 'predicted_sr': 'ekle-mA-lAr'}
{'sf': 'ekleriin', 'freq': '36', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ek-ler-i-in', 'ur': 'ek-lAr-H-Hn', 'predicted_sr': 'ek-lAr-I-In'}
{'sf': 'ekrɑnlɑrdɑ', 'freq': '36', 'analysis': 'Stem-pl-loc', 'segmentation': 'ekrɑn-lɑr-dɑ', 'ur': 'ekrɑn-lAr-dA', 'predicted_sr': 'ekrɑn-lAr-dA'}
{'sf': 'enerʒide', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'enerʒi-de', 'ur': 'enerʒi-dA', 'predicted_sr': 'enerʒi-dA'}
{'sf': 'erkekte', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'erkek-te', 'ur': 'erkek-dA', 'predicted_sr': 'erkek-dA'}
{'sf': 'etmemizi', 'freq': '36', 'analysis': 'Stem-vn:inf-p1p-acc', 'segmentation': 'et-me-miz-i', 'ur': 'et-mA-mHz-H', 'predicted_sr': 'et-mA-mIz-I'}
{'sf': 'filou', 'freq': '36', 'analysis': 'Stem-p3s', 'segmentation': 'filo-u', 'ur': 'filo-H', 'predicted_sr': 'filo-U'}
{'sf': 'finɑlde', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'finɑl-de', 'ur': 'finɑl-dA', 'predicted_sr': 'finɑl-dA'}
{'sf': 'fotoɰrɑfʧɯlɑrɯ', 'freq': '36', 'analysis': 'Stem-ci-pl-p3s', 'segmentation': 'fotoɰrɑf-ʧɯ-lɑr-ɯ', 'ur': 'fotoɰrɑf-ʧH-lAr-H', 'predicted_sr': 'fotoɰrɑf-ʧɯ-lAr-I'}
{'sf': 'fotoɰrɑfʧɯlɑrɯn', 'freq': '36', 'analysis': 'Stem-ci-pl-gen', 'segmentation': 'fotoɰrɑf-ʧɯ-lɑr-ɯn', 'ur': 'fotoɰrɑf-ʧH-lAr-Hn', 'predicted_sr': 'fotoɰrɑf-ʧɯ-lAr-In'}
{'sf': 'fotoɰrɑflɑrdɑ', 'freq': '36', 'analysis': 'Stem-pl-loc', 'segmentation': 'fotoɰrɑf-lɑr-dɑ', 'ur': 'fotoɰrɑf-lAr-dA', 'predicted_sr': 'fotoɰrɑf-lAr-dA'}
{'sf': 'geʧirmete', 'freq': '36', 'analysis': 'Stem-vn:inf-loc', 'segmentation': 'geʧir-me-te', 'ur': 'geʧir-mA-dA', 'predicted_sr': 'geʧir-mA-dA'}
{'sf': 'germe', 'freq': '36', 'analysis': 'Stem-vn:inf', 'segmentation': 'ger-me', 'ur': 'ger-mA', 'predicted_sr': 'ger-mA'}
{'sf': 'hɑkeme', 'freq': '36', 'analysis': 'Stem-dat', 'segmentation': 'hɑkem-e', 'ur': 'hɑkem-A', 'predicted_sr': 'hɑkem-A'}
{'sf': 'hɑlɯlɑr', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'hɑlɯ-lɑr', 'ur': 'hɑlɯ-lAr', 'predicted_sr': 'hɑlɯ-lAr'}
{'sf': 'hɑsɑrlɑrɑ', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'hɑsɑr-lɑr-ɑ', 'ur': 'hɑsɑr-lAr-A', 'predicted_sr': 'hɑsɑr-lAr-A'}
{'sf': 'hesɑplɑmɑdɑ', 'freq': '36', 'analysis': 'Stem-la-vn:inf-loc', 'segmentation': 'hesɑp-lɑ-mɑ-dɑ', 'ur': 'hesɑp-lA-mA-dA', 'predicted_sr': 'hesɑp-lA-mA-dA'}
{'sf': 'hoʃɑ', 'freq': '36', 'analysis': 'Stem-dat', 'segmentation': 'hoʃ-ɑ', 'ur': 'hoʃ-A', 'predicted_sr': 'hoʃ-A'}
{'sf': 'iʃgɑle', 'freq': '36', 'analysis': 'Stem-dat', 'segmentation': 'iʃgɑl-e', 'ur': 'iʃgɑl-A', 'predicted_sr': 'iʃgɑl-A'}
{'sf': 'ifɑdelere', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'ifɑde-ler-e', 'ur': 'ifɑde-lAr-A', 'predicted_sr': 'ifɑde-lAr-A'}
{'sf': 'ihmɑli', 'freq': '36', 'analysis': 'Stem-p3s', 'segmentation': 'ihmɑl-i', 'ur': 'ihmɑl-H', 'predicted_sr': 'ihmɑl-ɯ'}
{'sf': 'iliʃkilermizin', 'freq': '36', 'analysis': 'Stem-pl-p1p-gen', 'segmentation': 'iliʃki-ler-miz-in', 'ur': 'iliʃki-lAr-mHz-Hn', 'predicted_sr': 'iliʃki-lAr-mIz-In'}
{'sf': 'kɑrɯʃɯklɯklɑr', 'freq': '36', 'analysis': 'Stem-lik-pl', 'segmentation': 'kɑrɯʃɯk-lɯk-lɑr', 'ur': 'kɑrɯʃɯk-lHk-lAr', 'predicted_sr': 'kɑrɯʃɯk-lɯk-lAr'}
{'sf': 'kɑrʃɯlɑʃtɯrɑrɑk', 'freq': '36', 'analysis': 'Stem-cv:erek', 'segmentation': 'kɑrʃɯlɑʃtɯr-ɑrɑk', 'ur': 'kɑrʃɯlɑʃtɯr-ArAk', 'predicted_sr': 'kɑrʃɯlɑʃtɯr-ArAk'}
{'sf': 'kɑrtlɑrɑ', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'kɑrt-lɑr-ɑ', 'ur': 'kɑrt-lAr-A', 'predicted_sr': 'kɑrt-lAr-A'}
{'sf': 'kɑtɑloglɑrɯ', 'freq': '36', 'analysis': 'Stem-pl-acc', 'segmentation': 'kɑtɑlog-lɑr-ɯ', 'ur': 'kɑtɑlog-lAr-H', 'predicted_sr': 'kɑtɑlog-lAr-I'}
{'sf': 'kɑtlɑrdɑ', 'freq': '36', 'analysis': 'Stem-pl-loc', 'segmentation': 'kɑt-lɑr-dɑ', 'ur': 'kɑt-lAr-dA', 'predicted_sr': 'kɑt-lAr-dA'}
{'sf': 'kesilme', 'freq': '36', 'analysis': 'Stem-vn:inf', 'segmentation': 'kesil-me', 'ur': 'kesil-mA', 'predicted_sr': 'kesil-mA'}
{'sf': 'kesimlerden', 'freq': '36', 'analysis': 'Stem-pl-abl', 'segmentation': 'kesim-ler-den', 'ur': 'kesim-lAr-dAn', 'predicted_sr': 'kesim-lAr-dAn'}
{'sf': 'killer', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'kil-ler', 'ur': 'kil-lAr', 'predicted_sr': 'kil-lAr'}
{'sf': 'komʃulɑr', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'komʃu-lɑr', 'ur': 'komʃu-lAr', 'predicted_sr': 'komʃu-lAr'}
{'sf': 'komitee', 'freq': '36', 'analysis': 'Stem-dat', 'segmentation': 'komite-e', 'ur': 'komite-A', 'predicted_sr': 'komite-A'}
{'sf': 'komutuun', 'freq': '36', 'analysis': 'Stem-p3s-gen', 'segmentation': 'komut-u-un', 'ur': 'komut-H-Hn', 'predicted_sr': 'komut-U-Un'}
{'sf': 'kovɑn', 'freq': '36', 'analysis': 'Stem-part:pres', 'segmentation': 'kov-ɑn', 'ur': 'kov-An', 'predicted_sr': 'kov-An'}
{'sf': 'krizlere', 'freq': '36', 'analysis': 'Stem-pl-dat', 'segmentation': 'kriz-ler-e', 'ur': 'kriz-lAr-A', 'predicted_sr': 'kriz-lAr-A'}
{'sf': 'kurumlɑrdɑki', 'freq': '36', 'analysis': 'Stem-pl-loc-ki', 'segmentation': 'kurum-lɑr-dɑ-ki', 'ur': 'kurum-lAr-dA-ki', 'predicted_sr': 'kurum-lAr-dA-ki'}
{'sf': 'kutlɑnɑn', 'freq': '36', 'analysis': 'Stem-lan-part:pres', 'segmentation': 'kut-lɑn-ɑn', 'ur': 'kut-lAn-An', 'predicted_sr': 'kut-lAn-An'}
{'sf': 'lensler', 'freq': '36', 'analysis': 'Stem-pl', 'segmentation': 'lens-ler', 'ur': 'lens-lAr', 'predicted_sr': 'lens-lAr'}
{'sf': 'metrede', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'metre-de', 'ur': 'metre-dA', 'predicted_sr': 'metre-dA'}
{'sf': 'mitingde', 'freq': '36', 'analysis': 'Stem-loc', 'segmentation': 'miting-de', 'ur': 'miting-dA', 'predicted_sr': 'miting-dA'}
{'sf': 'okulmuzɑ', 'freq': '36', 'analysis': 'Stem-p1p-dat', 'segmentation': 'okul-muz-ɑ', 'ur': 'okul-mHz-A', 'predicted_sr': 'okul-mUz-A'}
{'sf': 'okuunʤɑ', 'freq': '36', 'analysis': 'Stem-cv:ince', 'segmentation': 'oku-unʤɑ', 'ur': 'oku-HnʤA', 'predicted_sr': 'oku-UnʤA'}
{'sf': 'operɑsjonlɑrdɑ', 'freq': '36', 'analysis': 'Stem-pl-loc', 'segmentation': 'operɑsjon-lɑr-dɑ', 'ur': 'operɑsjon-lAr-dA', 'predicted_sr': 'operɑsjon-lAr-dA'}
{'sf': 'ormɑnlɑrɯɯn', 'freq': '36', 'analysis': 'Stem-pl-p3s-gen', 'segmentation': 'ormɑn-lɑr-ɯ-ɯn', 'ur': 'ormɑn-lAr-H-Hn', 'predicted_sr': 'ormɑn-lAr-I-In'}
